metric,M,repeat,coupling,alpha,derev,n,revcorr,tgt_D_pear,tgt_D_dir,tgt_PDS,pred_D_pear,pred_D_dir,pred_PDS,CBDir,ICCoh,sec
euclid,15,1,traverse,1,False,4195,-0.654,0.244,0.613,0.156,-0.034,0.474,0.0,0.689,0.029,7.0
euclid,15,3,traverse,1,False,4195,-0.756,0.274,0.629,0.125,-0.024,0.497,0.0,0.778,0.029,5.5
euclid,30,1,traverse,1,False,4195,-0.654,0.254,0.615,0.156,-0.035,0.464,0.0,0.689,0.033,5.4
euclid,30,3,traverse,1,False,4195,-0.759,0.258,0.623,0.125,-0.027,0.491,0.0,0.78,0.032,5.4
euclid,60,1,traverse,1,False,4195,-0.656,0.244,0.627,0.125,-0.027,0.494,0.0,0.691,0.034,5.4
euclid,60,3,traverse,1,False,4195,-0.762,0.253,0.611,0.156,-0.02,0.466,0.0,0.78,0.032,5.4
geodesic,15,1,traverse,1,False,4623,-0.654,0.311,0.659,0.219,-0.064,0.472,0.0,0.694,0.036,23.1
geodesic,15,3,traverse,1,False,4623,-0.774,0.389,0.698,0.156,-0.011,0.507,0.0,0.792,0.033,5.9
geodesic,30,1,traverse,1,False,4623,-0.663,0.325,0.673,0.156,-0.073,0.473,0.031,0.689,0.044,5.9
geodesic,30,3,traverse,1,False,4623,-0.788,0.318,0.669,0.188,-0.054,0.477,0.031,0.794,0.045,5.9
geodesic,60,1,traverse,1,False,4623,-0.658,0.231,0.609,0.25,-0.075,0.466,0.031,0.68,0.055,5.9
geodesic,60,3,traverse,1,False,4623,-0.794,0.273,0.651,0.156,-0.093,0.463,0.031,0.789,0.059,5.9
fermat,15,1,traverse,1,False,4623,-0.663,0.303,0.656,0.219,-0.047,0.485,0.0,0.697,0.037,22.9
fermat,15,3,traverse,1,False,4623,-0.782,0.367,0.686,0.188,0.016,0.506,0.0,0.795,0.037,5.9
fermat,30,1,traverse,1,False,4623,-0.665,0.286,0.645,0.156,-0.062,0.466,0.0,0.691,0.047,5.9
fermat,30,3,traverse,1,False,4623,-0.791,0.336,0.659,0.125,-0.025,0.499,0.0,0.794,0.05,5.9
fermat,60,1,traverse,1,False,4623,-0.665,0.2,0.607,0.125,-0.068,0.469,0.031,0.683,0.059,5.9
fermat,60,3,traverse,1,False,4623,-0.799,0.241,0.624,0.156,-0.075,0.463,0.031,0.789,0.066,5.9
ot,0,1,ot,1,False,2334,-0.633,0.128,0.539,0.281,-0.01,0.492,0.125,0.52,0.098,4.9
ot,0,3,ot,1,False,2334,-0.633,0.128,0.539,0.281,-0.01,0.492,0.125,0.52,0.098,4.9
geodesic,15,1,traverse,1,True,4623,-0.657,0.342,0.683,0.188,-0.01,0.491,0.0,0.743,0.028,6.4
geodesic,30,1,traverse,1,True,4623,-0.663,0.292,0.651,0.156,-0.065,0.454,0.0,0.739,0.037,6.3
