metric,M,repeat,alpha,n,revcorr,tgt_D_pear,tgt_D_dir,tgt_PDS,tgt_nTF,pred_D_pear,pred_D_dir,pred_PDS,pred_nTF,CBDir,ICCoh,sec
euclid,15,1,1,22869,-0.445,-0.636,0.202,0.0,375,-0.716,0.148,0.0,375,0.773,0.027,37.9
euclid,15,3,1,22869,-0.523,-0.699,0.162,0.0,375,-0.745,0.129,0.0,375,0.82,0.026,36.3
euclid,30,1,1,22869,-0.445,-0.638,0.204,0.0,375,-0.731,0.139,0.0,375,0.772,0.029,36.2
euclid,30,3,1,22869,-0.526,-0.706,0.157,0.0,375,-0.75,0.123,0.0,375,0.823,0.028,36.3
diffmap,15,1,1,23040,-0.452,-0.68,0.183,0.0,375,-0.754,0.131,0.0,375,0.739,0.047,35.8
diffmap,15,3,1,23040,-0.542,-0.75,0.133,0.0,375,-0.781,0.104,0.0,375,0.789,0.052,35.9
diffmap,30,1,1,23040,-0.453,-0.685,0.178,0.0,375,-0.745,0.135,0.0,375,0.733,0.049,35.7
diffmap,30,3,1,23040,-0.548,-0.755,0.13,0.0,375,-0.778,0.111,0.0,375,0.784,0.054,35.8
geodesic,15,1,1,23059,-0.443,-0.637,0.203,0.0,375,-0.71,0.155,0.0,375,0.77,0.023,604.1
geodesic,15,3,1,23059,-0.523,-0.699,0.16,0.0,375,-0.745,0.125,0.0,375,0.821,0.024,66.2
geodesic,30,1,1,23059,-0.442,-0.635,0.201,0.0,375,-0.717,0.147,0.0,375,0.769,0.024,66.2
geodesic,30,3,1,23059,-0.528,-0.7,0.162,0.0,375,-0.746,0.127,0.0,375,0.822,0.025,66.3
fermat,15,1,1,23059,-0.444,-0.634,0.206,0.0,375,-0.719,0.148,0.0,375,0.771,0.024,601.0
fermat,15,3,1,23059,-0.525,-0.696,0.164,0.0,375,-0.742,0.131,0.0,375,0.822,0.024,66.3
fermat,30,1,1,23059,-0.445,-0.633,0.206,0.0,375,-0.724,0.142,0.0,375,0.771,0.026,66.2
fermat,30,3,1,23059,-0.53,-0.706,0.159,0.0,375,-0.752,0.12,0.0,375,0.824,0.026,66.3
