,Inhibitory neurons,Granule neurons,ENS neurons,Smooth muscle cells,Vascular endothelial cells,Stromal cells,Ciliated epithelial cells,Bronchiolar and alveolar epithelial cells,STC2_TLX1 positive cells,Syncytiotrophoblasts and villous cytotrophoblasts,Excitatory neurons,Erythroblasts
TFORF0987-KLF2,0.0,0.0,0.0,0.029197080291970802,0.014598540145985401,0.0364963503649635,0.06569343065693431,0.31386861313868614,0.26277372262773724,0.0,0.0072992700729927005,0.27007299270072993
TFORF0983-KLF5,0.0,0.0,0.0,0.021739130434782608,0.0,0.043478260869565216,0.15217391304347827,0.29347826086956524,0.18478260869565216,0.0,0.0,0.30434782608695654
TFORF0988-KLF1,0.08163265306122448,0.0,0.0,0.02040816326530612,0.0,0.02040816326530612,0.12244897959183673,0.22448979591836735,0.19387755102040816,0.0,0.0,0.336734693877551
TFORF0984-KLF5,0.030612244897959183,0.0,0.0,0.01020408163265306,0.0,0.0,0.11224489795918367,0.3673469387755102,0.1836734693877551,0.0,0.0,0.29591836734693877
TFORF0902-PTF1A,0.0,0.0,0.016129032258064516,0.3010752688172043,0.005376344086021506,0.026881720430107527,0.043010752688172046,0.23118279569892472,0.3225806451612903,0.005376344086021506,0.0,0.04838709677419355
TFORF0098-MSGN1,0.0,0.0,0.013513513513513514,0.4594594594594595,0.11261261261261261,0.17117117117117117,0.05855855855855856,0.07657657657657657,0.09009009009009009,0.0,0.0,0.018018018018018018
TFORF0391-FERD3L,0.005952380952380952,0.0,0.4880952380952381,0.15476190476190477,0.011904761904761904,0.05357142857142857,0.05952380952380952,0.11904761904761904,0.08333333333333333,0.0,0.0,0.023809523809523808
TFORF2848-TCF21,0.09649122807017543,0.0,0.07017543859649122,0.017543859649122806,0.008771929824561403,0.017543859649122806,0.12280701754385964,0.2982456140350877,0.13157894736842105,0.0,0.0,0.23684210526315788
TFORF2055-CDX1,0.034482758620689655,0.0,0.034482758620689655,0.3103448275862069,0.0,0.1206896551724138,0.08620689655172414,0.1206896551724138,0.1724137931034483,0.017241379310344827,0.0,0.10344827586206896
TFORF2496-ASCL3,0.02,0.0,0.0,0.16,0.013333333333333334,0.03333333333333333,0.4266666666666667,0.21333333333333335,0.09333333333333334,0.0,0.0,0.04
TFORF3008-CDX2,0.015873015873015872,0.0,0.015873015873015872,0.30158730158730157,0.015873015873015872,0.14285714285714285,0.1746031746031746,0.15873015873015872,0.15873015873015872,0.0,0.0,0.015873015873015872
TFORF3361-MSC,0.1559633027522936,0.0,0.03669724770642202,0.0,0.0,0.045871559633027525,0.11926605504587157,0.23853211009174313,0.11009174311926606,0.0,0.0,0.29357798165137616
TFORF2498-ASCL4,0.0,0.0,0.046296296296296294,0.10185185185185185,0.0,0.08333333333333333,0.3333333333333333,0.23148148148148148,0.1388888888888889,0.0,0.0,0.06481481481481481
TFORF1324-KLF17,0.047619047619047616,0.0,0.0,0.0,0.0,0.047619047619047616,0.19047619047619047,0.23809523809523808,0.19047619047619047,0.0,0.0,0.2857142857142857
TFORF0926-ATOH7,0.008771929824561403,0.008771929824561403,0.09649122807017543,0.23684210526315788,0.0,0.06140350877192982,0.09649122807017543,0.13157894736842105,0.3157894736842105,0.0,0.0,0.043859649122807015
TFORF2744-T,0.0,0.0,0.0196078431372549,0.6372549019607843,0.0,0.06862745098039216,0.0392156862745098,0.08823529411764706,0.11764705882352941,0.0,0.0,0.029411764705882353
TFORF0985-KLF4,0.034482758620689655,0.0,0.0,0.034482758620689655,0.0,0.034482758620689655,0.3793103448275862,0.13793103448275862,0.10344827586206896,0.06896551724137931,0.0,0.20689655172413793
TFORF0537-PAX2,0.18181818181818182,0.0,0.0,0.045454545454545456,0.0,0.0,0.2727272727272727,0.13636363636363635,0.13636363636363635,0.0,0.0,0.22727272727272727
TFORF0518-PAX5,0.07547169811320754,0.0,0.0,0.018867924528301886,0.0,0.0,0.2641509433962264,0.18867924528301888,0.09433962264150944,0.018867924528301886,0.0,0.33962264150943394
TFORF0514-PAX5,0.15254237288135594,0.0,0.0,0.03389830508474576,0.0,0.0,0.3559322033898305,0.13559322033898305,0.05084745762711865,0.0,0.0,0.2711864406779661
