,TF,batch,louvain,n_counts,n_genes,percent_mito,dpt_pseudotime,discrete_time,split,cell_type,Cluster Enriched TFs_colors,highlight_celltype,Depth_from_root,Cluster Enriched TFs,velocity_self_transition,condition,condition_counts,clusters_gradients,terminal_states,terminal_states_probs,member_12-1_absorption,member_11-1_absorption,member_11-0_absorption,member_7-1_absorption,member_12-0_absorption,member_10_absorption,member_5_absorption,member_15_absorption,member_14_absorption
"R1.11,R2.75,R3.53,P1.54-0-1-0",TFORF3021-DLX4,0,6,5272.0,3114,0.02010622,0.042003512,0.042003512,train,Squamous epithelial cells,others,squamous epithelial,8.0,others,0.0,TFORF3021-DLX4,10,15,,0.6708615527228999,0.061359897120849924,0.0845022855136701,0.10407882746998398,0.07704097216157844,0.10068583182169795,0.1489946188345923,0.13269598656937703,0.1562981984948909,0.13434395211967315
"R1.57,R2.65,R3.85,P1.62-1-1-0",TFORF3021-DLX4,0,0,4635.0,2871,0.03128371,0.04621159,0.04621159,test,Ciliated epithelial cells,others,ciliated epithelial,5.0,others,0.0,TFORF3021-DLX4,10,15,,0.5623548763495797,0.06170360973231702,0.0843055821870048,0.10438259911449208,0.07655446996855339,0.10115744989237953,0.1466124877767542,0.13292254477504958,0.15392152930585262,0.1384401778125284
"R1.36,R2.43,R3.03,P1.07-2-1-0",TFORF3021-DLX4,0,0,7828.0,4022,0.022100152,0.03506042,0.03506042,train,Squamous epithelial cells,others,squamous epithelial,4.0,others,0.0,TFORF3021-DLX4,10,15,,0.5959413010644555,0.061650190683110784,0.0861328205781076,0.1041928699095301,0.07689684710931606,0.10178524557486017,0.14695745922024173,0.13446393641613721,0.15450875990078275,0.13341221537654208
"R1.30,R2.78,R3.32,P1.31-1-2-0",TFORF3021-DLX4,0,1,2149.0,1654,0.024662634,0.024028342,0.024028342,train,Bronchiolar and alveolar epithelial cells,others,bronchiolar and alveolar epithelial,10.0,others,0.0,TFORF3021-DLX4,10,15,,0.6761582875317738,0.061166799984309815,0.0843506023038063,0.1045314870947678,0.0788306123927709,0.10123073974265294,0.14849372219303258,0.13221127653363113,0.16306938823600622,0.12611558707626191
"R1.87,R2.31,R3.93,P1.31-1-2-0",TFORF3021-DLX4,0,3,2960.0,2056,0.016554054,0.08674718,0.08674718,train,Intestinal epithelial cells,others,intestinal epithelial,9.0,others,0.0,TFORF3021-DLX4,10,14,,0.7583108871134621,0.06066159592011856,0.08290781315767472,0.10300900090164705,0.0752822254121742,0.09966533414204685,0.14580810711511902,0.1304021233648882,0.15180579999980318,0.150459217775233
"R1.77,R2.50,R3.36,P1.47-3-2-0",TFORF3021-DLX4,0,3,3947.0,2478,0.02938941,0.09904767,0.09904767,train,Intestinal epithelial cells,others,intestinal epithelial,8.0,others,0.0,TFORF3021-DLX4,10,14,,0.780126674104005,0.060703217166804165,0.08293260465197409,0.10311676886587445,0.07525286588614437,0.0997694134688819,0.14569735741317377,0.13036076167177063,0.15171929502841305,0.15044899863651737
"R1.93,R2.36,R3.78,P1.47-3-2-0",TFORF3021-DLX4,0,2,5118.0,3089,0.023837436,0.034771517,0.034771517,train,Ciliated epithelial cells,others,ciliated epithelial,23.0,others,0.0,TFORF3021-DLX4,10,15,,0.623400400282096,0.061499787603850276,0.08456643965132261,0.10428480515790695,0.07724569123131615,0.10088606473122043,0.14847261451226693,0.13361136960606726,0.15591512731230153,0.1335182825268111
"R1.07,R2.80,R3.08,P1.16-3-3-0",TFORF3021-DLX4,0,0,3688.0,2498,0.02494577,0.035385318,0.035385318,train,Bronchiolar and alveolar epithelial cells,others,bronchiolar and alveolar epithelial,5.0,others,0.0,TFORF3021-DLX4,10,15,,0.5695682949866261,0.06163081042689077,0.084443984226893,0.10439201541974186,0.07738792860479551,0.10096883435041688,0.14604788553380518,0.13521633148801562,0.15427277446533322,0.13563988605988245
"R1.62,R2.45,R3.56,P1.40-2-4-0",TFORF3021-DLX4,0,2,3120.0,2156,0.026602564,0.03331042,0.03331042,train,Squamous epithelial cells,others,squamous epithelial,11.0,others,0.0,TFORF3021-DLX4,10,15,,0.6164799349188776,0.06147833107795288,0.08440433179290864,0.10391646636770742,0.07717554329650457,0.10079473589833164,0.1490165275497587,0.13336365863643576,0.15569866266598792,0.13415196291998757
"R1.85,R2.30,R3.75,P1.40-2-4-0",TFORF3021-DLX4,0,6,6177.0,3505,0.021369597,0.03402228,0.03402228,train,Bronchiolar and alveolar epithelial cells,others,bronchiolar and alveolar epithelial,4.0,others,0.0,TFORF3021-DLX4,10,15,,0.6365419043043821,0.06153753648261822,0.08452877316320466,0.10410029495088967,0.07725004183723304,0.1009089021944557,0.14900740159066111,0.13331660405348122,0.15623886158514486,0.1331118189007106
"R1.37,R2.91,R3.85,P1.23-0-2-0",TFORF1864-POU2F2,0,9-2,3370.0,2320,0.021661721,0.02968096,0.02968096,train,PAEP_MECOM positive cells,others,PAEP_MECOM+ epithelial,10.0,others,0.0,TFORF1864-POU2F2,4,15,,0.5203213575963997,0.06701958048951887,0.08507598204965323,0.11753184986397207,0.07506915069629433,0.10805526902099465,0.14624630284657084,0.12712745785546548,0.14852019255280632,0.12535449812237376
"R1.80,R2.47,R3.80,P1.08-2-3-0",TFORF1864-POU2F2,0,4,6249.0,3470,0.020003201,0.033908665,0.033908665,val,Intestinal epithelial cells,others,intestinal epithelial,8.0,others,0.0,TFORF1864-POU2F2,4,15,,0.6299142366827839,0.06074944957786447,0.08337337251898333,0.10317546350533367,0.07682631589016255,0.09995354599683015,0.15599989190625935,0.13141705115563773,0.15571903488506392,0.13278609550860554
"R1.47,R2.13,R3.24,P1.40-2-4-0",TFORF1864-POU2F2,0,8-0,3004.0,2113,0.027296938,0.037692335,0.037692335,test,Squamous epithelial cells,others,squamous epithelial,6.0,others,0.0,TFORF1864-POU2F2,4,15,,0.6115825315101223,0.06156355160468564,0.0844179692222559,0.10419492713355176,0.07702196655831157,0.10092557121949482,0.14828611604480438,0.1333428488805789,0.15547584582759513,0.13477132593426863
"R1.21,R2.17,R3.58,P1.22-0-1",TFORF1864-POU2F2,1,7-0,4008.0,2651,0.020459082,0.028144376,0.028144376,train,Smooth muscle cells,others,smooth muscle,6.0,others,0.0,TFORF1864-POU2F2,4,15,,0.5421654078651037,0.06563173009047235,0.08573552516231535,0.10103046535607628,0.08821427415267949,0.1220909655578332,0.13889315053825166,0.13289401568168757,0.1532795956625612,0.11223034113799649
"R1.59,R2.96,R3.46,P1.08-2-3-0",TFORF1544-ZNF160,0,6,3042.0,2091,0.029257068,0.033441436,0.033441436,train,Squamous epithelial cells,others,squamous epithelial,7.0,others,0.0,TFORF1544-ZNF160,30,15,,0.6735838317716284,0.06140735815540275,0.08463722632482612,0.1042904243486889,0.07729619968020719,0.10077241874033885,0.14922671118661898,0.13298194589059423,0.15704625169123368,0.1323418739776695
"R1.01,R2.45,R3.47,P1.40-2-4-0",TFORF1544-ZNF160,0,0,4685.0,2919,0.024332978,0.04546073,0.04546073,train,Squamous epithelial cells,others,squamous epithelial,5.0,others,0.0,TFORF1544-ZNF160,30,15,,0.5505251965574819,0.06234139437346052,0.08486103433972003,0.10512103321794235,0.07616092005560558,0.10221546609267974,0.14574136813610736,0.13253723374826093,0.15303381611886793,0.13798821076232867
"R1.75,R2.42,R3.12,P1.47-3-2-0",TFORF1544-ZNF160,0,0,3510.0,2366,0.03076923,0.053171117,0.053171117,train,Squamous epithelial cells,others,squamous epithelial,12.0,others,0.0,TFORF1544-ZNF160,30,14,,0.4932759667673097,0.06563868461711193,0.08667154836241842,0.11229561247588814,0.07395972058082412,0.11017268762309079,0.14107319294654755,0.1282016450827989,0.14776025762764455,0.13422723403954737
"R1.64,R2.61,R3.62,P1.63-1-3-0",TFORF1544-ZNF160,0,14,4611.0,2880,0.027976578,0.12400105,0.12400105,train,Intestinal epithelial cells,others,intestinal epithelial,10.0,others,0.0,TFORF1544-ZNF160,30,14,,0.8274915923875338,0.05214574443178951,0.07124507732253757,0.08854531072178055,0.06466068675585047,0.08564001305116885,0.1249490470621708,0.11207968308918614,0.13029030888317863,0.270445085010973
"R1.46,R2.26,R3.41,P1.22-0-0",TFORF1544-ZNF160,0,1,1810.0,1429,0.021546962,0.028215827,0.028215827,train,Inhibitory neurons,others,others,6.0,others,0.0,TFORF1544-ZNF160,30,15,,0.7078940065252148,0.0610395007794775,0.08466292493451179,0.10463228263387676,0.07825411970793669,0.10104252929700668,0.14865859637406817,0.13216806704512957,0.16317166941578126,0.126370529530841
"R1.25,R2.42,R3.65,P1.47-3-2-0",TFORF1544-ZNF160,0,1,7510.0,4010,0.025699068,0.031764418,0.031764418,val,Erythroblasts,others,others,6.0,others,0.0,TFORF1544-ZNF160,30,15,,0.7176758376029357,0.060453644130272245,0.08436467645161931,0.10403774277697633,0.07877780528116993,0.10047932002883009,0.14705900961829582,0.13137633405777335,0.16980650840153513,0.1236451812330966
"R1.51,R2.01,R3.03,P1.31-1-2-0",TFORF1544-ZNF160,0,0,6037.0,3437,0.030313069,0.03168071,0.03168071,val,Squamous epithelial cells,others,squamous epithelial,23.0,others,0.0,TFORF1544-ZNF160,30,15,,0.5866423893418398,0.062081574015952316,0.08475482199938109,0.10484056794503284,0.07737808912633888,0.10131519049278766,0.14634539163967958,0.1341339757575276,0.15520633170730536,0.13394444923085985
"R1.14,R2.55,R3.22,P1.38-0-0",TFORF1544-ZNF160,0,0,3662.0,2425,0.028672857,0.03972699,0.03972699,train,Squamous epithelial cells,others,squamous epithelial,7.0,others,0.0,TFORF1544-ZNF160,30,15,,0.5673017889216823,0.06222252220973855,0.08402361002094427,0.1039916990238908,0.07615354858401988,0.1010183489592961,0.1468918314136758,0.13226552798393754,0.15347349043661623,0.13995985221404328
"R1.06,R2.16,R3.88,P1.54-0-1-0",TFORF1544-ZNF160,0,3,4040.0,2617,0.01930693,0.10812708,0.10812708,train,Intestinal epithelial cells,others,intestinal epithelial,10.0,others,0.0,TFORF1544-ZNF160,30,14,,0.7810104249577964,0.060636643252760226,0.08283056585219957,0.10301308744601481,0.07514998189486867,0.09965421944632138,0.1454727144570632,0.13019356578452704,0.1514937577172297,0.15155675137569166
"R1.53,R2.09,R3.81,P1.31-1-2-0",TFORF1544-ZNF160,0,4,5096.0,3083,0.027472528,0.025134783,0.025134783,train,Squamous epithelial cells,others,squamous epithelial,6.0,others,0.0,TFORF1544-ZNF160,30,15,,0.6395433123363068,0.06139925349751231,0.08457939932178078,0.10414545380431603,0.07758740454417339,0.1007974591857065,0.14902246062984814,0.13326467569509085,0.1574529241163434,0.13175117398865083
"R1.69,R2.54,R3.02,P1.38-0-0",TFORF1544-ZNF160,0,9-2,2670.0,1957,0.033707865,0.06838529,0.06838529,train,Bronchiolar and alveolar epithelial cells,others,bronchiolar and alveolar epithelial,7.0,others,0.0,TFORF1544-ZNF160,30,15,,0.401719843686766,0.08132823419963528,0.097184955785539,0.12258048589510138,0.06691899968291919,0.15171621071762853,0.1240844821181059,0.11474263572623716,0.130956271357959,0.1104879719444011
"R1.59,R2.20,R3.78,P1.54-0-1-0",TFORF1544-ZNF160,0,3,5212.0,3167,0.026285496,0.076066785,0.076066785,train,Squamous epithelial cells,others,squamous epithelial,7.0,others,0.0,TFORF1544-ZNF160,30,14,,0.6185299360670078,0.06099315013372156,0.08309915532796346,0.10389409199934568,0.07512047754513956,0.10018934934960658,0.14474393849179462,0.1303102388267372,0.15115619949133924,0.15049412771117224
"R1.46,R2.08,R3.22,P1.30-0-0",TFORF1544-ZNF160,0,6,2690.0,1910,0.024535315,0.03883746,0.03883746,train,Erythroblasts,others,others,5.0,others,0.0,TFORF1544-ZNF160,30,15,,0.640701090481722,0.061410346104256504,0.08439501749239574,0.10406241372522819,0.07706319426784979,0.10070217451706426,0.1489536984594965,0.13301952647805737,0.1564926325729684,0.1339012767701747
"R1.57,R2.76,R3.85,P1.38-0-0",TFORF1544-ZNF160,0,14,1589.0,1259,0.023285085,0.04364336,0.04364336,val,STC2_TLX1 positive cells,others,others,9.0,others,0.0,TFORF1544-ZNF160,30,15,,0.565608804553935,0.061055568328938346,0.08359968816598952,0.10327749544717033,0.0760464989171371,0.10004948582334129,0.14651755279681813,0.1317590850192023,0.15337306630932765,0.14432197602122515
"R1.78,R2.61,R3.20,P1.54-0-1-0",TFORF1544-ZNF160,0,1,3953.0,2582,0.018972931,0.03796152,0.03796152,train,Inhibitory neurons,others,others,9.0,others,0.0,TFORF1544-ZNF160,30,15,,0.7521454036284249,0.06075893265673177,0.08431812910709291,0.10426875417804639,0.07839630583001221,0.10091244975526201,0.14850439142503072,0.13184858533516,0.16602719110743278,0.12496547193899626
"R1.61,R2.24,R3.06,P1.07-2-1-0",TFORF1544-ZNF160,0,9-2,1586.0,1221,0.016393442,0.043204863,0.043204863,test,Ureteric bud cells,others,ureteric bud,12.0,others,0.0,TFORF1544-ZNF160,30,15,,0.533917300500166,0.06046643068411211,0.08188138421920667,0.10313155013492466,0.07473567849429083,0.10030582214808366,0.17114121138750008,0.12969226093664712,0.14988507703183662,0.12876075566053663
